,platform,genre,title,score
114,                                        Xbox,flight,Blazing Angels: Squadrons of WWII,69
115,                                        PC,flight,World of Warplanes,69
116,                                        PlayStation 4,flight,Strike Suit Zero: Director's Cut,68
117,                                        Xbox 360,flight,Tom Clancy's HAWX 2,68
118,                                        Switch,flight,Bow to Blood: Last Captain Standing,68
119,                                        Switch,flight,Red Wings: Aces of the Sky,68
120,                                        Dreamcast,flight,Iron Aces,67
121,                                        PlayStation 4,flight,InnerSpace,67
122,                                        Xbox One,flight,Strike Suit Zero: Director's Cut,67
123,                                        PlayStation 3,flight,Blazing Angels: Squadrons of WWII,67
124,                                        Xbox One,flight,Flying Tigers: Shadows Over China,67
125,                                        PlayStation 3,flight,Apache: Air Assault,66
126,                                        Xbox 360,flight,Blazing Angels: Squadrons of WWII,66
127,                                        PC,flight,Tom Clancy's HAWX 2,66
128,                                        PC,flight,Strike Suit Zero,66
129,                                        PlayStation 2,flight,AirForce Delta Strike,66
130,                                        Xbox Series X,flight,The Falconeer,65
131,                                        PC,flight,Heroes Over Europe,65
132,                                        PC,flight,InnerSpace,65
133,                                        Xbox One,flight,Land It!,65
134,                                        PC,flight,Air Conflicts: Secret Wars,65
135,                                        PC,flight,Blazing Angels: Squadrons of WWII,65
136,                                        PC,flight,Strike Fighters: Project 1,65
137,                                        PlayStation 2,flight,Thunderstrike: Operation Phoenix,65
138,                                        PC,flight,Apache: Air Assault,64
139,                                        PC,flight,Microsoft Flight,64
140,                                        PlayStation 2,flight,Aero Elite: Combat Academy,64
141,                                        Xbox One,flight,InnerSpace,64
142,                                        Switch,flight,Ultrawings,64
143,                                        PC,flight,Attack on Pearl Harbor,64
144,                                        Switch,flight,Dustoff Heli Rescue 2,64
145,                                        PlayStation 2,flight,Fire Blade,64
146,                                        PC,flight,Guns of Icarus Online,64
147,                                        Wii U,flight,Chasing Aurora,64
148,                                        PC,flight,Redline: Xtreme Air Racing 2,64
149,                                        Switch,flight,InnerSpace,63
150,                                        PC,flight,Echelon: Wind Warriors,63
151,                                        PlayStation 2,flight,Top Gun: Combat Zones,63
152,                                        iOS,flight,Max Gentlemen,63
153,                                        PlayStation 2,flight,City Crisis,63
154,                                        3DS,flight,Ace Combat: Assault Horizon Legacy+,63
155,                                        PlayStation 3,flight,Heroes Over Europe,62
156,                                        Xbox,flight,Wings of War,62
157,                                        Wii,flight,Flight Control,62
158,                                        Xbox One,flight,The Falconeer,62
