,platform,genre,title,score
113,                                        PlayStation 4,third-person,The Walking Dead: Michonne - Episode 2: Give No Shelter,82
114,                                        Xbox One,third-person,Tom Clancy's The Division 2,82
115,                                        PC,third-person,Gemini Rue,82
116,                                        PC,third-person,Tales of Monkey Island Chapter 3: Lair of the Leviathan,82
117,                                        PC,third-person,Broken Sword: The Sleeping Dragon,82
118,                                        PlayStation 2,third-person,SOCOM: U.S. Navy SEALs,82
119,                                        PlayStation 2,third-person,SOCOM 3: U.S. Navy SEALs,82
120,                                        PC,third-person,Monday Night Combat,82
121,                                        Xbox,third-person,Freedom Fighters,82
122,                                        PC,third-person,Sam & Max Episode 201: Ice Station Santa,82
123,                                        PSP,third-person,SOCOM: U.S. Navy SEALs Fireteam Bravo,82
124,                                        Switch,third-person,Splatoon 2: Octo Expansion,82
125,                                        PC,third-person,Syberia,82
126,                                        Xbox,third-person,Metal Arms: Glitch in the System,82
127,                                        Xbox One,third-person,Tom Clancy's The Division 2: Warlords of New York,82
128,                                        PC,third-person,Gears 5,82
129,                                        PC,third-person,Botanicula,82
130,                                        PC,third-person,Plants vs Zombies: Garden Warfare 2,82
131,                                        PlayStation 2,third-person,Star Wars: Battlefront,82
132,                                        PC,third-person,Broken Age: Act 1,82
133,                                        PSP,third-person,Resistance: Retribution,81
134,                                        PlayStation 4,third-person,Plants vs Zombies: Garden Warfare 2,81
135,                                        Wii U,third-person,Splatoon,81
136,                                        PlayStation 2,third-person,Ratchet: Deadlocked,81
137,                                        PC,third-person,Remnant: From the Ashes - Swamps of Corsus,81
138,                                        Xbox,third-person,Phantom Dust,81
139,                                        PlayStation 4,third-person,Hunt: Showdown,81
140,                                        PlayStation 4,third-person,The First Tree: Console Edition,81
141,                                        PC,third-person,Tales of Monkey Island Chapter 5: Rise of the Pirate God,81
142,                                        PC,third-person,Fortnite,81
143,                                        PlayStation 4,third-person,Helldivers,81
144,                                        PlayStation 4,third-person,Broken Age,81
145,                                        PC,third-person,Sam & Max: The Devil's Playhouse - Episode 1: The Penal Zone,81
146,                                        Xbox One,third-person,Sunset Overdrive,81
147,                                        Xbox 360,third-person,RAGE,81
148,                                        PC,third-person,Hunt: Showdown,81
149,                                        PSP,third-person,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,81
150,                                        PlayStation 2,third-person,Freedom Fighters,81
151,                                        PlayStation 2,third-person,Metal Arms: Glitch in the System,81
152,                                        iOS,third-person,Fortnite,81
153,                                        PC,third-person,Star Trek: Deep Space Nine: The Fallen,81
154,                                        GameCube,third-person,Bomberman Generation,81
155,                                        PC,third-person,Sam & Max Episode 101: Culture Shock,81
156,                                        PlayStation 3,third-person,Child of Eden,81
157,                                        Xbox One,third-person,Remnant: From the Ashes,81
158,                                        PC,third-person,Sam & Max: The Devil's Playhouse - Episode 5: The City That Dares Not Sleep,81
159,                                        PlayStation 3,third-person,Sam & Max: The Devil's Playhouse - Episode 1: The Penal Zone,81
160,                                        Xbox One,third-person,Plants vs Zombies: Garden Warfare 2,80
161,                                        Switch,third-person,ABZU,80
162,                                        PC,third-person,Syberia II,80
163,                                        Nintendo 64,third-person,Jet Force Gemini,80
164,                                        PC,third-person,Detroit: Become Human,80
165,                                        PC,third-person,Sam & Max Episode 202: Moai Better Blues,80
166,                                        PlayStation 4,third-person,Shadow Complex Remastered,80
167,                                        PC,third-person,Sam & Max Episode 104: Abe Lincoln Must Die!,80
168,                                        PC,third-person,"Guns, Gore & Cannoli 2",80
169,                                        PC,third-person,Freedom Fighters,80
170,                                        PlayStation 2,third-person,MDK 2: Armageddon,80
171,                                        Dreamcast,third-person,Fur Fighters,80
172,                                        PlayStation 4,third-person,RiME,80
173,                                        iOS,third-person,Octodad: Dadliest Catch,80
174,                                        PC,third-person,World of Tanks,80
175,                                        PlayStation 4,third-person,Grim Fandango Remastered,80
176,                                        PC,third-person,Tales of Monkey Island Chapter 4: The Trial and Execution of Guybrush Threepwood,80
177,                                        PlayStation 3,third-person,Sam & Max: The Devil's Playhouse - Episode 5: The City That Dares Not Sleep,80
178,                                        Xbox One,third-person,Tom Clancy's The Division,80
179,                                        PlayStation 2,third-person,Max Payne,80
180,                                        PlayStation 2,third-person,Hitman: Contracts,80
181,                                        Game Boy Advance,third-person,Medal of Honor Infiltrator,80
182,                                        PC,third-person,RoboBlitz,80
183,                                        PlayStation 4,third-person,Tom Clancy's The Division,80
184,                                        Wii,third-person,Tales of Monkey Island Chapter 3: Lair of the Leviathan,80
185,                                        PlayStation 4,third-person,World of Tanks,80
186,                                        iOS,third-person,The Bard's Tale,79
187,                                        Switch,third-person,Wide Ocean Big Jacket,79
188,                                        PC,third-person,The Path,79
189,                                        Wii,third-person,Metroid: Other M,79
190,                                        Xbox 360,third-person,Sesame Street: Once Upon a Monster,79
191,                                        Xbox 360,third-person,Gears of War 2: All Fronts Collection,79
192,                                        Xbox 360,third-person,Lost Planet: Extreme Condition,79
193,                                        Xbox 360,third-person,Monday Night Combat,79
194,                                        PC,third-person,Runaway: A Twist of Fate,79
195,                                        PC,third-person,Tales of Monkey Island Chapter 1: Launch of the Screaming Narwhal,79
196,                                        Xbox 360,third-person,Transformers: Fall of Cybertron,79
197,                                        PC,third-person,Earth Defense Force 4.1: The Shadow of New Despair,79
198,                                        PlayStation 4,third-person,Until Dawn,79
199,                                        Xbox 360,third-person,Tom Clancy's Ghost Recon: Future Soldier,79
200,                                        PlayStation 2,third-person,Giants: Citizen Kabuto,79
201,                                        PC,third-person,Sam & Max Episode 102: Situation: Comedy,79
202,                                        PC,third-person,Sam & Max Episode 106: Bright Side of the Moon,79
203,                                        PC,third-person,Tom Clancy's The Division,79
204,                                        PC,third-person,Sam & Max Episode 203: Night of the Raving Dead,79
205,                                        PlayStation Vita,third-person,Retro City Rampage,79
206,                                        PC,third-person,Spellbreak,79
207,                                        PC,third-person,Shadowgrounds Survivor,79
208,                                        Wii,third-person,Tales of Monkey Island Chapter 1: Launch of the Screaming Narwhal,79
209,                                        Xbox,third-person,Armed and Dangerous,79
210,                                        PlayStation 4,third-person,Alienation,79
211,                                        Xbox 360,third-person,Gears of War: Judgment,79
212,                                        Switch,third-person,L.A. Noire,79
213,                                        DS,third-person,Geometry Wars: Galaxies,79
214,                                        Wii,third-person,Tales of Monkey Island Chapter 2: The Siege of Spinner Cay,79
215,                                        PC,third-person,Tom Clancy's The Division 2: Warlords of New York,79
216,                                        PlayStation 3,third-person,Tom Clancy's Ghost Recon: Future Soldier,79
217,                                        Xbox One,third-person,"Guns, Gore & Cannoli 2",79
218,                                        PlayStation 4,third-person,Detroit: Become Human,78
219,                                        PlayStation 2,third-person,Shadow of Destiny,78
220,                                        PlayStation 3,third-person,Machinarium,78
