,platform,genre,title,score
111,                                        PC,adventure,Gone Home,86
112,                                        Wii,adventure,Kirby's Epic Yarn,86
113,                                        iOS,adventure,Swordigo,86
114,                                        PlayStation 4,adventure,Tales from the Borderlands: A Telltale Game Series,86
115,                                        iOS,adventure,Gemini Rue,86
116,                                        PC,adventure,Kentucky Route Zero,86
117,                                        PC,adventure,The Gallery - Episode 2: Heart of the Emberstone,86
118,                                        iOS,adventure,Superbrothers: Sword & Sworcery EP,86
119,                                        PlayStation 4,adventure,Steins;Gate Elite,86
120,                                        iOS,adventure,Organ Trail: Director's Cut,86
121,                                        PlayStation 4,adventure,Thimbleweed Park,86
122,                                        iOS,adventure,Soosiz,86
123,                                        iOS,adventure,The Walking Dead: Episode 1: A New Day,86
124,                                        iOS,adventure,Love You To Bits,86
125,                                        PC,adventure,Observer: System Redux,86
126,                                        PC,adventure,Her Story,86
127,                                        iOS,adventure,League of Evil,86
128,                                        iOS,adventure,Old Man's Journey,86
129,                                        PlayStation 4,adventure,13 Sentinels: Aegis Rim,86
130,                                        PC,adventure,The Secret of Monkey Island: Special Edition,86
131,                                        iOS,adventure,Plunderland,86
132,                                        iOS,adventure,Rocket Bunnies,86
133,                                        iOS,adventure,Evergarden,86
134,                                        PlayStation 3,adventure,Minecraft: PlayStation 3 Edition,86
135,                                        PC,adventure,Full Throttle,86
136,                                        iOS,adventure,Nihilumbra,86
137,                                        iOS,adventure,Appointment With F.E.A.R.,86
138,                                        PC,adventure,Escape from Monkey Island,86
139,                                        Xbox One,adventure,Observer,86
140,                                        Switch,adventure,Return of the Obra Dinn,86
141,                                        PlayStation Vita,adventure,Code:Realize - Guardian of Rebirth,86
142,                                        PlayStation 3,adventure,Tales of Monkey Island,86
143,                                        PC,adventure,Day of the Tentacle Remastered,86
144,                                        iOS,adventure,Mega Run - Redford's Adventure,86
145,                                        PC,adventure,The Talos Principle,85
146,                                        iOS,adventure,Air Mail,85
147,                                        iOS,adventure,Rinth Island,85
148,                                        PlayStation 3,adventure,The Wolf Among Us: Episode 1 - Faith,85
149,                                        PC,adventure,"Sam & Max Episode 205: What's New, Beelzebub?",85
150,                                        PC,adventure,Tales from the Borderlands: A Telltale Game Series,85
151,                                        Xbox One,adventure,Firewatch,85
152,                                        Xbox 360,adventure,Lara Croft and the Guardian of Light,85
153,                                        iOS,adventure,Spider-Man: Total Mayhem,85
154,                                        PC,adventure,Paradigm,85
155,                                        Switch,adventure,Night in the Woods,85
156,                                        Switch,adventure,If Found...,85
157,                                        Xbox 360,adventure,Monkey Island 2 Special Edition: LeChuck's Revenge,85
