platform,genre,title,score
3DS,Action,Kirby's Extra Epic Yarn Review - All Stitched Up,9
3DS,Action,Luigi's Mansion Review - Old Haunts,7
3DS,Action,Dillon's Dead-Heat Breakers Review: Running On Fumes,6
3DS,Action,Metroid: Samus Returns Review,9
3DS,Action,Miitopia Review,5
3DS,Action,Hey Pikmin Review,6
3DS,Action,Ever Oasis Review,7
3DS,Action,Poochy and Yoshi’s Woolly World Review,7
3DS,Action,Sonic Boom: Fire and Ice Review,6
3DS,Action,Azure Striker Gunvolt 2 Review,8
3DS,Action,River City: Tokyo Rumble Review,7
3DS,Action,Metroid Prime: Federation Force Review,5
3DS,Action,Monster Hunter Generations Review,8
3DS,Action,Kirby: Planet Robobot Review,8
3DS,Action,Hyrule Warriors Legends Review,7
3DS,Action,Final Fantasy Explorers Review,7
3DS,Action,The Legend of Zelda: Tri Force Heroes Review,5
3DS,Action,Chibi-Robo Zip Lash Review,4
3DS,Action,LBX: Little Battlers eXperience Review,7
3DS,Action,Stretchmo Review,7
3DS,Action,Attack On Titan: Humanity In Chains Review,4
3DS,Action,BoxBoy! Review,8
3DS,Action,Xenoblade Chronicles 3D Review,8
3DS,Action,Mario vs. Donkey Kong: Tipping Stars Review,5
3DS,Action,Monster Hunter 4 Ultimate Review,9
3DS,Action,The Legend of Zelda: Majora's Mask 3D Review,9
3DS,Action,Super Smash Bros. 3DS Review,8
3DS,Action,Azure Striker: Gunvolt Review,8
3DS,Action,Siesta Fiesta Review,7
3DS,Action,Shovel Knight Review,7
3DS,Action,Kirby: Triple Deluxe Review,8
3DS,Action,Yoshi's New Island Review,5
3DS,Action,The Legend of Zelda: A Link Between Worlds Review,9
3DS,Action,Rune Factory 4 Review,7
3DS,Action,Scribblenauts Unmasked Review,5
3DS,Action,Steamworld Dig Review,7
3DS,Action,Donkey Kong Country Returns 3D Review,7
3DS,Action,Luigi's Mansion: Dark Moon Review,6.5
3DS,Action,Monster Hunter 3 Ultimate Review,7
3DS,Action,Castlevania: Lords of Shadow - Mirror of Fate Review,7
3DS,Action,Disney Epic Mickey: Power of Illusion Review,8
3DS,Action,Code of Princess Review,7
3DS,Action,Liberation Maiden Review,8.5
3DS,Action,New Super Mario Bros. 2 Review,7
3DS,Action,Kingdom Hearts 3D Review,7
3DS,Action,Heroes of Ruin Review,6
3DS,Action,Kid Icarus: Uprising Review,8
3DS,Action,Metal Gear Solid: Snake Eater 3D Review,8
3DS,Action,Tekken 3D Prime Edition Review,6.5
3DS,Action,Mutant Mudds Review,7.5
3DS,Action,One Piece: Unlimited Cruise SP Review,4
3DS,Action,Sakura Samurai: Art of the Sword Review,7.5
3DS,Action,Resident Evil: Revelations Review,8.5
3DS,Action,Mighty Switch Force Review,7.5
3DS,Action,Pushmo Review,8.5
3DS,Action,Cave Story 3D Review,8
3DS,Action,Tales of the Abyss Review,7
3DS,Action,Shinobi Review,7.5
3DS,Action,Super Mario 3D Land Review,8
3DS,Action,Pokemon Rumble Blast Review,4.5
3DS,Action,Star Fox 64 3D Review,7.5
3DS,Action,Resident Evil: The Mercenaries 3D Review,6.5
3DS,Action,Cubic Ninja Review,5.5
3DS,Adventure,Luigi's Mansion Review - Old Haunts,7
3DS,Adventure,"Detective Pikachu Review: Elementary, My Dear Watt-son",7
3DS,Adventure,Metroid: Samus Returns Review,9
3DS,Adventure,Phoenix Wright: Ace Attorney - Spirit of Justice Review,8
3DS,Adventure,Zero Escape: Zero Time Dilemma Review,6
3DS,Adventure,The Legend of Zelda: Tri Force Heroes Review,5
3DS,Adventure,The Legend of Zelda: Majora's Mask 3D Review,9
3DS,Adventure,The Legend of Zelda: A Link Between Worlds Review,9
3DS,Adventure,Phoenix Wright: Ace Attorney - Dual Destinies Review,8
3DS,Adventure,Steamworld Dig Review,7
3DS,Adventure,Luigi's Mansion: Dark Moon Review,6.5
3DS,Adventure,Castlevania: Lords of Shadow - Mirror of Fate Review,7
3DS,Adventure,Zero Escape: Virtue's Last Reward Review,8.5
3DS,Adventure,Kid Icarus: Uprising Review,8
3DS,Adventure,Metal Gear Solid: Snake Eater 3D Review,8
3DS,Adventure,Resident Evil: Revelations Review,8.5
3DS,Adventure,The Legend of Zelda: Ocarina of Time 3D Review,8.5
3DS,Adventure,LEGO Pirates of the Caribbean: The Video Game Review,6
3DS,Adventure,Combat of Giants: Dinosaurs 3D Review,4.5
3DS,Adventure,Lego Star Wars III: Attack of the Clones Review,6
3DS,Adventure,Splinter Cell 3D Review,5.5
3DS,Fighting,Super Smash Bros. 3DS Review,8
3DS,Fighting,Tekken 3D Prime Edition Review,6.5
3DS,Fighting,Cartoon Network: Punch Time Explosion Review,5.5
3DS,Fighting,Dead or Alive: Dimensions Review,7.5
3DS,Fighting,Super Street Fighter IV: 3D Edition Review,8.5
3DS,First-Person,Metroid Prime: Federation Force Review,5
3DS,Flight,Pilotwings Resort Review,6.5
3DS,Party/Minigame,WarioWare Gold Review - Worth Its Weight,8
3DS,Party/Minigame,Super Smash Bros. 3DS Review,8
3DS,Party/Minigame,Mario Party: Island Tour Review,7
3DS,Platformer,Kirby's Extra Epic Yarn Review - All Stitched Up,9
3DS,Platformer,Hey Pikmin Review,6
3DS,Platformer,Poochy and Yoshi’s Woolly World Review,7
3DS,Platformer,Sonic Boom: Fire and Ice Review,6
3DS,Platformer,Azure Striker Gunvolt 2 Review,8
3DS,Platformer,Kirby: Planet Robobot Review,8
3DS,Platformer,Chibi-Robo Zip Lash Review,4
3DS,Platformer,Azure Striker: Gunvolt Review,8
3DS,Platformer,Shovel Knight Review,7
3DS,Platformer,Kirby: Triple Deluxe Review,8
3DS,Platformer,Yoshi's New Island Review,5
3DS,Platformer,Donkey Kong Country Returns 3D Review,7
3DS,Platformer,Disney Epic Mickey: Power of Illusion Review,8
3DS,Platformer,New Super Mario Bros. 2 Review,7
3DS,Platformer,Mutant Mudds Review,7.5
3DS,Platformer,Mighty Switch Force Review,7.5
3DS,Platformer,Cave Story 3D Review,8
3DS,Platformer,Shinobi Review,7.5
3DS,Platformer,Super Mario 3D Land Review,8
3DS,Platformer,Rabbids Travel in Time 3D Review,6
3DS,Platformer,Rayman 3D Review,7
3DS,Puzzle,Dr. Mario: Miracle Cure Review,7
3DS,Puzzle,Stretchmo Review,7
3DS,Puzzle,BoxBoy! Review,8
3DS,Puzzle,Mario vs. Donkey Kong: Tipping Stars Review,5
3DS,Puzzle,Siesta Fiesta Review,7
3DS,Puzzle,Professor Layton vs. Phoenix Wright: Ace Attorney Review,8
3DS,Puzzle,Professor Layton and the Azran Legacy Review,7
3DS,Puzzle,Scribblenauts Unmasked Review,5
3DS,Puzzle,Professor Layton and the Miracle Mask Review,8.5
3DS,Puzzle,Shifting World Review,5.5
3DS,Puzzle,Pushmo Review,8.5
3DS,Puzzle,James Noir's Hollywood Crimes Review,7
3DS,Puzzle,Tetris Axis Review,7
3DS,Puzzle,Cubic Ninja Review,5.5
3DS,Puzzle,Bust-A-Move Universe Review,5
3DS,Driving/Racing,Mario Kart 7 Review,8
3DS,Driving/Racing,Driver: Renegade 3D Review,3.5
3DS,Driving/Racing,Ridge Racer 3D Review,7
3DS,Driving/Racing,Asphalt 3D Review,5.5
3DS,Role-Playing,Persona Q2 Review - You Oughta Be In Pictures,7
3DS,Role-Playing,Yo-kai Watch 3 Review - Tokyo To Texas,6
3DS,Role-Playing,Etrian Odyssey Nexus Review - Where All Paths Cross,8
3DS,Role-Playing,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey Review,8
3DS,Role-Playing,The Alliance Alive Review: A Change Of Pace,8
3DS,Role-Playing,Radiant Historia Perfect Chronology Review: Time After Time After Time,8
3DS,Role-Playing,Pokemon Ultra Sun And Ultra Moon Review,8
3DS,Role-Playing,Etrian Odyssey 5: Beyond The Myth Review,8
3DS,Role-Playing,Mario & Luigi: Superstar Saga + Bowser's Minions Review,8
3DS,Role-Playing,Ever Oasis Review,7
3DS,Role-Playing,Dragon Ball Fusions Review,6
3DS,Role-Playing,Pokemon Sun and Moon Review,8
3DS,Role-Playing,Yo-Kai Watch 2 Review,5
3DS,Role-Playing,Shin Megami Tensei 4: Apocalypse Review,9
3DS,Role-Playing,Monster Hunter Generations Review,8
3DS,Role-Playing,7th Dragon III Code: VFD Review,8
3DS,Role-Playing,Bravely Second: End Layer Review,7
3DS,Role-Playing,Mario & Luigi: Paper Jam Review,6
3DS,Role-Playing,Final Fantasy Explorers Review,7
3DS,Role-Playing,Yo-Kai Watch Review,7
3DS,Role-Playing,The Legend of Legacy Review,6
3DS,Role-Playing,LBX: Little Battlers eXperience Review,7
3DS,Role-Playing,Etrian Odyssey Untold 2: The Fafnir Knight Review,7
3DS,Role-Playing,Etrian Mystery Dungeon Review,7
3DS,Role-Playing,Xenoblade Chronicles 3D Review,8
3DS,Role-Playing,Monster Hunter 4 Ultimate Review,9
3DS,Role-Playing,Persona Q: Shadow of the Labyrinth Review,8
3DS,Role-Playing,Pokemon Omega Ruby/Alpha Sapphire Review,8
3DS,Role-Playing,Fantasy Life Review,6
3DS,Role-Playing,Bravely Default Review,8
3DS,Role-Playing,Rune Factory 4 Review,7
3DS,Role-Playing,Pokemon X/Y Review,8
3DS,Role-Playing,Etrian Odyssey Untold: The Millenium Girl Review,8
3DS,Role-Playing,Shin Megami Tensei IV Review,8
3DS,Role-Playing,Mario & Luigi: Dream Team Review,8
3DS,Role-Playing,Denpa Men 2: Beyond the Waves Review,8
3DS,Role-Playing,Devil Summoner: Soul Hackers Review,7
3DS,Role-Playing,Pokemon Mystery Dungeon: Gates to Infinity Review,5
3DS,Role-Playing,Monster Hunter 3 Ultimate Review,7
3DS,Role-Playing,Etrian Odyssey IV Review,8
3DS,Role-Playing,Paper Mario: Sticker Star Review,7.5
3DS,Simulation,Animal Crossing: Happy Home Designer Review,5
3DS,Simulation,Tomodachi Life Review,7
3DS,Simulation,Animal Crossing: New Leaf Review,8
3DS,Simulation,Madden NFL Football Review,4
3DS,Simulation,The Sims 3 Review,5.5
3DS,Simulation,Nintendogs + Cats: Toy Poodle & New Friends Review,7.5
3DS,Simulation,Nintendogs + Cats: Golden Retriever and New Friends Review,7.5
3DS,Simulation,Nintendogs + Cats: French Bulldog and New Friends Review,7.5
3DS,Simulation,Pro Evolution Soccer 2011 3D Review,7
3DS,Simulation,Steel Diver Review,4.5
3DS,Simulation,Pilotwings Resort Review,6.5
3DS,Sports,Mario Golf: World Tour Review,7
3DS,Sports,Mario Tennis Open Review,5.5
3DS,Sports,Brunswick Pro Bowling Review,5
3DS,Sports,Deca Sports Extreme Review,3.5
3DS,Sports,Madden NFL Football Review,4
3DS,Sports,Pro Evolution Soccer 2011 3D Review,7
3DS,Strategy,Fire Emblem Echoes: Shadows of Valentia Review,9
3DS,Strategy,Story of Seasons: Trio of Towns Review,7
3DS,Strategy,Project X Zone 2 Review,5
3DS,Strategy,Fire Emblem Fates: Birthright Review,8
3DS,Strategy,Fire Emblem Fates: Revelation Review,9
3DS,Strategy,Fire Emblem Fates: Conquest Review,7
3DS,Strategy,SteamWorld Heist Review,8
3DS,Strategy,Shin Megami Tensei: Devil Survivor 2 Record Breaker Review,8
3DS,Strategy,Story of Seasons Review,7
3DS,Strategy,Code Name S.T.E.A.M Review,4
3DS,Strategy,Project X Zone Review,6.5
3DS,Strategy,Fire Emblem: Awakening Review,8.5
3DS,Strategy,Tom Clancy's Ghost Recon: Shadow Wars Review,8
3DS,Strategy,Nintendogs + Cats: Toy Poodle & New Friends Review,7.5
3DS,Strategy,Nintendogs + Cats: Golden Retriever and New Friends Review,7.5
3DS,Strategy,Nintendogs + Cats: French Bulldog and New Friends Review,7.5
3DS,Third-Person,"Detective Pikachu Review: Elementary, My Dear Watt-son",7
3DS,Third-Person,Resident Evil: The Mercenaries 3D Review,6.5
3DS,Turn-Based,Fire Emblem Echoes: Shadows of Valentia Review,9
3DS,Turn-Based,Project X Zone 2 Review,5
3DS,Turn-Based,Fire Emblem Fates: Conquest Review,7
3DS,Turn-Based,Fire Emblem Fates: Birthright Review,8
3DS,Turn-Based,Fire Emblem Fates: Revelation Review,9
3DS,Turn-Based,SteamWorld Heist Review,8
3DS,Turn-Based,Shin Megami Tensei: Devil Survivor 2 Record Breaker Review,8
3DS,Turn-Based,Code Name S.T.E.A.M Review,4
3DS,Turn-Based,Project X Zone Review,6.5
3DS,Turn-Based,Fire Emblem: Awakening Review,8.5
3DS,Turn-Based,Tom Clancy's Ghost Recon: Shadow Wars Review,8
Nintendo Switch,Action,Hyrule Warriors: Age Of Calamity Review,6
Nintendo Switch,Action,Control: Ultimate Edition Cloud Version Review,7
Nintendo Switch,Action,Disc Room Review – Getting Buzzed,8
Nintendo Switch,Action,Super Mario Bros. 35 Review – Mario Royale,7
Nintendo Switch,Action,Kirby Fighters 2 Review – 2 Kirby 2 Furious,6
Nintendo Switch,Action,"Hades Review – The Long, Hard Road Out of Hell",9
Nintendo Switch,Action,The Last Campfire Review – One Step At A Time,8
Nintendo Switch,Action,No Straight Roads Review – Bangers And Smash,7
Nintendo Switch,Action,Panzer Paladin Review,8
Nintendo Switch,Action,Carrion Review,7
Nintendo Switch,Action,Bloodstained: Curse Of The Moon 2 Review,8
Nintendo Switch,Action,Deadly Premonition 2: A Blessing In Disguise Review,5
Nintendo Switch,Action,Ninjala Review - Gum Up The Works,6
Nintendo Switch,Action,Mr. Driller Drill Land Review,8
Nintendo Switch,Action,Xenoblade Chronicles: Definitive Edition Review,9
Nintendo Switch,Action,The Wonderful 101 Remastered Review - Mob Mentality,4
Nintendo Switch,Action,Trials Of Mana Review - Trial And Error,6
Nintendo Switch,Action,Treachery In Beatdown City Review,8
Nintendo Switch,Action,Good Job Review - Office Space,7
Nintendo Switch,Action,Doom Eternal Review - Intelligent Inferno,8
Nintendo Switch,Action,Snack World Review,4
Nintendo Switch,Action,Kunai Review - Throwing Knives,7
Nintendo Switch,Action,The Touryst Review - Life's A Beach,8
Nintendo Switch,Action,Sparklite Review - Shine A Light,6
Nintendo Switch,Action,Luigi's Mansion 3 Review - Mario Is Missing,8
Nintendo Switch,Action,The Witcher 3 Nintendo Switch Review - The Last Wish,9
Nintendo Switch,Action,Killer Queen Black Review - 'Cause I'm Having a Good Time,8
Nintendo Switch,Action,Yooka-Laylee And The Impossible Lair Review - Uninvited Nostalgia,6
Nintendo Switch,Action,The Legend Of Zelda: Link’s Awakening Review - A Respectable Remake,8
Nintendo Switch,Action,Astral Chain Review - Anime Police Academy,8
Nintendo Switch,Action,Wolfenstein: Youngblood Nintendo Switch Review,7
Nintendo Switch,Action,Marvel Ultimate Alliance 3: The Black Order Review - Superpowered,8
Nintendo Switch,Action,Dragon Quest Builders 2 Review - Building On A Strong Foundation,8
Nintendo Switch,Action,Bloodstained: Ritual Of The Night Nintendo Switch Review - Less Lively,6
Nintendo Switch,Action,Super Mario Maker 2 Review - Make My Day,8
Nintendo Switch,Action,My Friend Pedro Review - Vote For Pedro,7
Nintendo Switch,Action,BoxBoy! + BoxGirl! Review - Hip To Be Square,7
Nintendo Switch,Action,Mortal Kombat 11 Review - The Right Fight,9
Nintendo Switch,Action,Hellblade: Senua's Sacrifice Review - The Power Of Empathy,8
Nintendo Switch,Action,Nintendo Labo VR Kit Review - Cardboard Magic,7
Nintendo Switch,Action,Yoshi's Crafted World Review - Imagination,8
Nintendo Switch,Action,Baba is You Review - Game-Changer,7
Nintendo Switch,Action,Assault Android Cactus+ Review - Robots Rock,9
Nintendo Switch,Action,Ape Out Review - Guerrilla Gorilla,7
Nintendo Switch,Action,Dragon Marked for Death Review - Dates With Death,7
Nintendo Switch,Action,Downwell Review - Polished Boots,8
Nintendo Switch,Action,Pikuniku Review - Delicious Morsel,8
Nintendo Switch,Action,Travis Strikes Again: No More Heroes Review - Short On Heroics,6
Nintendo Switch,Action,Double Cross Review - Combat Woes,6
Nintendo Switch,Action,"New Super Mario Bros. U Deluxe Review - It's-A-Me, Again!",7
Nintendo Switch,Action,Battle Princess Madelyn Review - Halfway There,6
Nintendo Switch,Action,Monster Boy And The Cursed Kingdom Review - Fit For A King,8
Nintendo Switch,Action,Super Smash Bros. Ultimate Review - Me And You And Everyone We Know,9
Nintendo Switch,Action,Nidhogg 2 Review - En Garde,7
Nintendo Switch,Action,Full Metal Furies Review - Puzzle-Brawler,8
Nintendo Switch,Action,Sinner: Sacrifice for Redemption Review - Trials and Tribulations,6
Nintendo Switch,Action,Diablo 3: Eternal Collection Switch Review - Better With Age,9
Nintendo Switch,Action,Black Bird Review - Featherweight,5
Nintendo Switch,Action,Transistor Review,8
Nintendo Switch,Action,Dark Souls Remastered Switch Review: A Very Special Revisit,8
Nintendo Switch,Action,Chasm Review: The Battle Below,8
Nintendo Switch,Action,The Missing Review - Lost And Found,8
Nintendo Switch,Action,Mega Man 11 Review - An Uneven Retro Romp,7
Nintendo Switch,Action,Dragon Ball FighterZ Review: The Fast And The Furious,9
Nintendo Switch,Action,Planet Alpha Review: A Beautiful Planet,7
Nintendo Switch,Action,Freedom Planet Review -- Speedy Ambitions,7
Nintendo Switch,Action,The Messenger Review: Shuriken Sharp,8
Nintendo Switch,Action,Hollow Knight Review - An Exceptional Adventure,9
Nintendo Switch,Action,Monster Hunter Generations Ultimate Review - A Formidable Beast,7
Nintendo Switch,Action,Overcooked 2 Review - A Great Second Course,8
Nintendo Switch,Action,Dead Cells Review: Rise From Your Grave,9
Nintendo Switch,Action,Semblance Review,7
Nintendo Switch,Action,20XX Review - Robot Generation,7
Nintendo Switch,Action,Captain Toad: Treasure Tracker Nintendo Switch Review: Time For Adventure,8
Nintendo Switch,Action,Sonic Mania Plus Review - Encore! Encore!,9
Nintendo Switch,Action,Wolfenstein 2: The New Colossus Nintendo Switch Review,8
Nintendo Switch,Action,BlazBlue: Cross Tag Battle Review - The Tag Team Dream,9
Nintendo Switch,Action,Wizard Of Legend Review: Fast-Paced Action,7
Nintendo Switch,Action,Runner 3 Review: A Bit Of A Trip,7
Nintendo Switch,Action,Hyrule Warriors: Definitive Edition Review - The Great Zelda Spin-Off Is Back,8
Nintendo Switch,Action,Donkey Kong Country: Tropical Freeze Review - A Blast From The Past,9
Nintendo Switch,Action,Jotun: Valhalla Edition Switch Review - A Slight Downgrade,7
Nintendo Switch,Action,Penny-Punching Princess Review: In For A Pound,6
Nintendo Switch,Action,Kirby Star Allies Review: Take It Easy,8
Nintendo Switch,Action,Mulaka Review: Of Myth And Monsters,7
Nintendo Switch,Action,Pac-Man: Championship Edition 2 Review,8
Nintendo Switch,Action,Payday 2 Switch Review: Mo' Money Mo' Problems,5
Nintendo Switch,Action,Fe Review: Strike A Chord,7
Nintendo Switch,Action,Aegis Defenders Review,4
Nintendo Switch,Action,Bayonetta 2 Review,10
Nintendo Switch,Action,Owlboy Review: A Heartfelt Tale,9
Nintendo Switch,Action,Dragon Quest Builders Review: Working The Land,8
Nintendo Switch,Action,Dandara Review: Off The Wall,7
Nintendo Switch,Action,Celeste Review: More Than Just A Great Platformer,9
Nintendo Switch,Action,Brawlout Review,5
Nintendo Switch,Action,The Legend of Zelda: Breath Of The Wild - The Champions' Ballad Review,8
Nintendo Switch,Action,Xenoblade Chronicles 2 Review,7
Nintendo Switch,Action,Rive Review,8
Nintendo Switch,Action,LA Noire Switch Review,7
Nintendo Switch,Action,Sonic Forces Review,5
Nintendo Switch,Action,Doom Switch Review,7
Nintendo Switch,Action,Spelunker Party Review,6
Nintendo Switch,Action,Super Mario Odyssey Review,10
Nintendo Switch,Action,Golf Story Review,8
Nintendo Switch,Action,Fire Emblem Warriors Review,6
Nintendo Switch,Adventure,Control: Ultimate Edition Cloud Version Review,7
Nintendo Switch,Adventure,"Hades Review – The Long, Hard Road Out of Hell",9
Nintendo Switch,Adventure,Vampire: The Masquerade - Shadows Of New York Review,6
Nintendo Switch,Adventure,Paradise Killer Review,9
Nintendo Switch,Adventure,Evergate Review – Ever Great,8
Nintendo Switch,Adventure,A Short Hike Review,9
Nintendo Switch,Adventure,No Straight Roads Review – Bangers And Smash,7
Nintendo Switch,Adventure,Bloodstained: Curse Of The Moon 2 Review,8
Nintendo Switch,Adventure,Superliminal Review - We Need To Go Deeper,8
Nintendo Switch,Adventure,Deadly Premonition 2: A Blessing In Disguise Review,5
Nintendo Switch,Adventure,Death Come True Review - Hotel Hell,6
Nintendo Switch,Adventure,Liberated Review,4
Nintendo Switch,Adventure,Kentucky Route Zero Review - Where The Streets Have No Name,9
Nintendo Switch,Adventure,The Touryst Review - Life's A Beach,8
Nintendo Switch,Adventure,Sparklite Review - Shine A Light,6
Nintendo Switch,Adventure,Luigi's Mansion 3 Review - Mario Is Missing,8
Nintendo Switch,Adventure,Felix The Reaper Review - Footloose,5
Nintendo Switch,Adventure,Killer Queen Black Review - 'Cause I'm Having a Good Time,8
Nintendo Switch,Adventure,Neo Cab Review - Taxi Cab Confessions,7
Nintendo Switch,Adventure,80 Days Review - A Man And His Fogg,8
Nintendo Switch,Adventure,The Legend Of Zelda: Link’s Awakening Review - A Respectable Remake,8
Nintendo Switch,Adventure,Astral Chain Review - Anime Police Academy,8
Nintendo Switch,Adventure,Etherborn Review,6
Nintendo Switch,Adventure,Dragon Quest Builders 2 Review - Building On A Strong Foundation,8
Nintendo Switch,Adventure,Hellblade: Senua's Sacrifice Review - The Power Of Empathy,8
Nintendo Switch,Adventure,"Bury Me, My Love Review - Trials And Tribulations",8
Nintendo Switch,Adventure,Monster Boy And The Cursed Kingdom Review - Fit For A King,8
Nintendo Switch,Adventure,Sinner: Sacrifice for Redemption Review - Trials and Tribulations,6
Nintendo Switch,Adventure,Chasm Review: The Battle Below,8
Nintendo Switch,Adventure,Broken Sword 5: The Serpent's Curse Review,8
Nintendo Switch,Adventure,The Gardens Between Review - Dance Among The Stars,8
Nintendo Switch,Adventure,Hollow Knight Review - An Exceptional Adventure,9
Nintendo Switch,Adventure,Mulaka Review: Of Myth And Monsters,7
Nintendo Switch,Adventure,Bayonetta 2 Review,10
Nintendo Switch,Adventure,Owlboy Review: A Heartfelt Tale,9
Nintendo Switch,Adventure,Dragon Quest Builders Review: Working The Land,8
Nintendo Switch,Adventure,Night In The Woods Review,9
Nintendo Switch,Adventure,The Legend of Zelda: Breath Of The Wild - The Champions' Ballad Review,8
Nintendo Switch,Adventure,LA Noire Switch Review,7
Nintendo Switch,Adventure,Sonic Forces Review,5
Nintendo Switch,Adventure,Golf Story Review,8
Nintendo Switch,Adventure,SteamWorld Dig 2 Review,9
Nintendo Switch,Fighting,Kirby Fighters 2 Review – 2 Kirby 2 Furious,6
Nintendo Switch,Fighting,Mortal Kombat 11 Review - The Right Fight,9
Nintendo Switch,Fighting,Super Smash Bros. Ultimate Review - Me And You And Everyone We Know,9
Nintendo Switch,Fighting,Dragon Ball FighterZ Review: The Fast And The Furious,9
Nintendo Switch,Fighting,BlazBlue: Cross Tag Battle Review - The Tag Team Dream,9
Nintendo Switch,Fighting,Brawlout Review,5
Nintendo Switch,Fighting,Arms Review,7
Nintendo Switch,First-Person,Superliminal Review - We Need To Go Deeper,8
Nintendo Switch,First-Person,Doom Eternal Review - Intelligent Inferno,8
Nintendo Switch,First-Person,Wolfenstein: Youngblood Nintendo Switch Review,7
Nintendo Switch,First-Person,Wolfenstein 2: The New Colossus Nintendo Switch Review,8
Nintendo Switch,First-Person,Payday 2 Switch Review: Mo' Money Mo' Problems,5
Nintendo Switch,First-Person,Doom Switch Review,7
Nintendo Switch,Party/Minigame,Super Mario Party Review - Test Those Friendships,7
Nintendo Switch,Party/Minigame,Nintendo Labo Vehicle Kit Review: The Most Fun Labo Yet,7
Nintendo Switch,Party/Minigame,Nintendo Labo Review: Variety Kit And Robot Kit,7
Nintendo Switch,Party/Minigame,1-2-Switch Review,6
Nintendo Switch,Platformer,Super Mario Bros. 35 Review – Mario Royale,7
Nintendo Switch,Platformer,Panzer Paladin Review,8
Nintendo Switch,Platformer,Carrion Review,7
Nintendo Switch,Platformer,Kunai Review - Throwing Knives,7
Nintendo Switch,Platformer,Yooka-Laylee And The Impossible Lair Review - Uninvited Nostalgia,6
Nintendo Switch,Platformer,Super Mario Maker 2 Review - Make My Day,8
Nintendo Switch,Platformer,My Friend Pedro Review - Vote For Pedro,7
Nintendo Switch,Platformer,Yoshi's Crafted World Review - Imagination,8
Nintendo Switch,Platformer,Double Cross Review - Combat Woes,6
Nintendo Switch,Platformer,"New Super Mario Bros. U Deluxe Review - It's-A-Me, Again!",7
Nintendo Switch,Platformer,Battle Princess Madelyn Review - Halfway There,6
Nintendo Switch,Platformer,Mega Man 11 Review - An Uneven Retro Romp,7
Nintendo Switch,Platformer,Planet Alpha Review: A Beautiful Planet,7
Nintendo Switch,Platformer,Freedom Planet Review -- Speedy Ambitions,7
Nintendo Switch,Platformer,The Messenger Review: Shuriken Sharp,8
Nintendo Switch,Platformer,Dead Cells Review: Rise From Your Grave,9
Nintendo Switch,Platformer,Semblance Review,7
Nintendo Switch,Platformer,20XX Review - Robot Generation,7
Nintendo Switch,Platformer,Captain Toad: Treasure Tracker Nintendo Switch Review: Time For Adventure,8
Nintendo Switch,Platformer,Sonic Mania Plus Review - Encore! Encore!,9
Nintendo Switch,Platformer,Runner 3 Review: A Bit Of A Trip,7
Nintendo Switch,Puzzle,The Last Campfire Review – One Step At A Time,8
Nintendo Switch,Puzzle,Mr. Driller Drill Land Review,8
Nintendo Switch,Puzzle,Layton's Mystery Journey: Katrielle And The Millionaire's Conspiracy Review - Merry Old England,7
Nintendo Switch,Puzzle,BoxBoy! + BoxGirl! Review - Hip To Be Square,7
Nintendo Switch,Puzzle,Baba is You Review - Game-Changer,7
Nintendo Switch,Puzzle,Tetris 99 Review - Embrace The Chaos,8
Nintendo Switch,Puzzle,Pikuniku Review - Delicious Morsel,8
Nintendo Switch,Puzzle,Lumines Remastered: Groove Is In The Heart,8
Nintendo Switch,Puzzle,Sushi Striker: The Way Of Sushido Review - Cartoon Cuisine Combat,7
Nintendo Switch,Puzzle,Gorogoa Review,8
Nintendo Switch,Puzzle,Puyo Puyo Tetris Review,8
Nintendo Switch,Puzzle,Snake Pass Review,7
Nintendo Switch,Puzzle,Snipperclips Review,7
Nintendo Switch,Puzzle,Super Bomberman R Review,7
Nintendo Switch,Driving/Racing,Mario Kart Live: Home Circuit Review – Making Tracks,7
Nintendo Switch,Driving/Racing,Desert Child Review - Burning Fuel,5
Nintendo Switch,Driving/Racing,Mario Kart 8 Deluxe Review,9
Nintendo Switch,Driving/Racing,Fast RMX Review,7
Nintendo Switch,Real-Time,Pikmin 3 Deluxe Review,8
Nintendo Switch,Role-Playing,Ikenfell Review,6
Nintendo Switch,Role-Playing,Moon Review – The Bright Side,8
Nintendo Switch,Role-Playing,Paper Mario: The Origami King Review,8
Nintendo Switch,Role-Playing,Pokemon Sword And Shield Isle Of Armor DLC Review,8
Nintendo Switch,Role-Playing,The Outer Worlds For Nintendo Switch Review - Cosmic Haze,6
Nintendo Switch,Role-Playing,Xenoblade Chronicles: Definitive Edition Review,9
Nintendo Switch,Role-Playing,Trials Of Mana Review - Trial And Error,6
Nintendo Switch,Role-Playing,Pokemon Mystery Dungeon: Rescue Team DX Review,8
Nintendo Switch,Role-Playing,Snack World Review,4
Nintendo Switch,Role-Playing,Pokemon Sword & Shield Review - Curry Favor,9
Nintendo Switch,Role-Playing,Little Town Hero Review - Brat Country,5
Nintendo Switch,Role-Playing,The Witcher 3 Nintendo Switch Review - The Last Wish,9
Nintendo Switch,Role-Playing,Marvel Ultimate Alliance 3: The Black Order Review - Superpowered,8
Nintendo Switch,Role-Playing,Bloodstained: Ritual Of The Night Nintendo Switch Review - Less Lively,6
Nintendo Switch,Role-Playing,Dragon Marked for Death Review - Dates With Death,7
